P1SigVar,P1SigCrestFactor,P1SigMAD,P2SigVar,P2SigSkewness,P2SigMAD,P3SigVar,P3SigSkewness,P3SigMAD,PistSigVar,PistSigPeak,PistSigPeak2Peak,PistSigMAD,fault_type
212145640.7,1.000675213,12712.49314,28338600000000.0,-1.405086518,4309678.91,28355200000000.0,-1.404488919,4311350.426,0.011342079,0.333333343,0.333333343,0.086227009,1
398376294.3,1.000762707,17067.20415,29837900000000.0,-1.496675664,4388416.78,29857700000000.0,-1.495897022,4390504.666,0.015253814,0.376712336,0.376712336,0.099237434,2
207249904.0,1.000675225,12586.46143,28353200000000.0,-1.391614306,4319113.021,28369700000000.0,-1.391025741,4320767.03,0.011347878,0.333333343,0.333333343,0.086415341,1
525499398.9,1.000947513,20104.9967,32003500000000.0,-1.330667843,4681992.686,32026400000000.0,-1.329809127,4684371.245,0.025261575,0.46808511,0.46808511,0.131561065,2
337907183.7,1.000672134,15462.72533,28575800000000.0,-1.594524857,4215555.301,28593900000000.0,-1.593787554,4217471.541,0.011341117,0.331925174,0.331925174,0.083993096,0
202255222.2,1.000675249,12454.94081,28370000000000.0,-1.377361369,4329088.009,28386300000000.0,-1.37678222,4330726.987,0.01135453,0.333333349,0.333333349,0.08661454,1
197159539.1,1.000675237,12317.57947,28388800000000.0,-1.36230566,4339578.659,28405000000000.0,-1.36173631,4341201.362,0.011362,0.333333341,0.333333341,0.086824027,1
528323928.0,1.000951566,20168.10585,32045800000000.0,-1.327427245,4687690.365,32068700000000.0,-1.326566827,4690069.059,0.025511593,0.470085474,0.470085474,0.132283999,2
337951815.3,1.000672201,15463.95294,28576800000000.0,-1.594446716,4215692.176,28594900000000.0,-1.593709381,4217608.445,0.011343796,0.331958566,0.331958566,0.084004272,0
337996261.9,1.000672333,15465.17544,28577800000000.0,-1.594368569,4215829.047,28595900000000.0,-1.593631202,4217745.344,0.011346475,0.331991988,0.331991988,0.084015451,0
531174105.7,1.000955646,20231.79916,32088200000000.0,-1.324173394,4693384.299,32111200000000.0,-1.323311261,4695774.624,0.025765111,0.47210301,0.47210301,0.133013358,2
191967523.4,1.000675247,12174.17086,28409700000000.0,-1.346401616,4350601.611,28425800000000.0,-1.345842448,4352206.791,0.011370331,0.333333341,0.333333341,0.087044136,1
400145546.1,1.000765318,17112.41909,29872200000000.0,-1.494036136,4393102.715,29892000000000.0,-1.493256324,4395191.354,0.015376493,0.378006882,0.378006882,0.099684752,2
186675094.7,1.000675257,12024.25598,28432700000000.0,-1.329623488,4362134.374,28448700000000.0,-1.329074885,4363720.749,0.011379471,0.33333334,0.33333334,0.087274415,1
338040813.2,1.000672377,15466.40025,28578800000000.0,-1.594290414,4215965.919,28596900000000.0,-1.593553016,4217882.86,0.011349156,0.332025379,0.332025379,0.084026643,0
338085243.5,1.000672398,15467.62159,28579800000000.0,-1.594212252,4216102.79,28597900000000.0,-1.593474823,4218021.077,0.011351837,0.332058771,0.332058771,0.084037852,0
