PistonPositionCSR,P1Var,P2CSR,P3CSR,FaultType
273.089397823589,336444484.926749,13759589633.0948,13757912844.9005,0
332.81758807023,449097476.388745,13415652585.6668,13413557337.3759,2
273.113875397075,336488630.44579,13759443588.0443,13757766632.3759,0
273.138357640659,336532755.0335,13759297531.7802,13757620407.8298,0
273.162844267483,336576950.083514,13759151448.8494,13757474156.7442,0
333.920327957011,451264012.960301,13409510249.8757,13407407107.3648,2
335.030547649785,453448242.765355,13403333003.8549,13401221905.9914,2
273.062544852075,296624199.9641,13654816717.9408,13653127242.6038,1
274.724761353874,332575221.119042,13737927540.3711,13736238067.6937,1
272.912384972615,294052972.407721,13647308723.437,13645619248.6308,1
272.752233148168,291384956.114022,13639301133.2911,13637611657.4084,1
272.581669036419,288620719.823533,13630772926.4921,13629083451.821,1
336.148324079556,455650174.384046,13397120512.7016,13395001398.9277,2
273.187335459309,336621238.150495,13759005346.9086,13757327888.2059,0
273.211830962258,336665330.31744,13758859216.7787,13757181589.3622,0
337.273735412872,457870366.808223,13390872444.7182,13388745254.2685,2
273.236331029337,336709652.627208,13758713067.9295,13757035272.8861,0
338.406860771337,460108829.576063,13384588460.4885,13382453130.5029,2
272.399916540697,285759321.799706,13621685303.9999,13619995827.0348,1
